part_id,type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,machine_failure
M001,L,300.1,310.5,1550,42.1,10,0
M002,M,298.7,308.9,1420,48.3,55,0
M003,H,302.2,313.1,1280,61.5,120,1
M004,L,299.4,309.8,1650,39.2,25,0
M005,M,301.0,311.7,1185,65.4,140,1
M006,H,303.1,314.0,1340,58.7,110,1
M007,L,297.9,307.6,1705,35.8,15,0
M008,M,300.6,311.1,1455,46.2,70,0
M009,H,304.0,315.2,1210,67.8,160,1
M010,L,299.8,310.2,1580,41.0,20,0
M011,M,301.5,312.4,1395,52.6,85,1
M012,H,302.8,313.5,1265,63.1,135,1
M013,L,298.5,308.7,1688,37.5,18,0
M014,M,300.9,311.3,1475,45.9,60,0
M015,H,303.6,314.6,1235,66.2,150,1
M016,L,299.2,309.4,1605,40.7,22,0
M017,M,301.2,312.0,1410,50.8,90,1
M018,H,304.3,315.5,1195,69.0,170,1
M019,L,298.9,309.1,1668,38.6,17,0
M020,M,300.4,310.9,1440,47.4,72,0